"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","distance.to.TSS","region","gene.name","ADO.pval","ADO.log2FC","ADO.status","OY.pval","OY.log2FC","OY.status","anova.pval"
"chr1",205718657,205719781,53,57,29,41,77,39,43,41,68,69,50,76,77,70,84,39,63,88,46,51,64,51,45,60,48,50,76,22665,0,"overlapStart","NUCKS1",0.0451714973089384,-0.326270207126155,"loss",0.0292382122901678,0.526068811667588,"gain",0.00932414399556289
"chr1",210405819,210405902,90,61,0,22,95,102,56,53,0,33,45,0,47,0,0,44,0,40,44,75,88,57,46,73,76,66,105,23122,241,"upstream","SERTAD4",0.000727759174757442,1.74385197975145,"gain",0.0145435964519467,-1.51845080854266,"loss",0.00102770784571583
"chr1",226186882,226187673,55,38,35,48,71,51,31,69,32,75,53,80,64,64,84,41,72,74,37,45,56,61,39,51,24,46,59,24510,0,"overlapStart","SDE2",0.0246815307286795,-0.460309895421062,"loss",0.0683922829321368,0.361119405515983,"not significant",0.0396701944940526
"chr1",231323739,231323754,20,30,0,31,36,16,14,20,30,23,18,34,38,24,39,0,29,20,0,18,30,0,13,0,13,0,23,26052,365,"upstream","RP5-1097F14.3",0.016703713790231,-1.24243750122668,"loss",0.349349726454833,0.288721049497443,"not significant",0.0311904437890648
"chr1",231473396,231474186,65,51,27,35,81,31,20,56,38,47,40,39,56,93,96,23,41,74,0,20,40,23,30,29,33,49,31,26088,0,"overlapStart","EXOC8",0.0126846638729703,-0.949040492488649,"loss",0.423662170278702,0.257769089621152,"not significant",0.0320430453471227
"chr10",27529093,27529100,78,64,58,36,87,81,64,0,52,73,67,77,99,52,103,0,74,85,0,43,83,65,48,0,0,52,0,29516,4163,"upstream","AL160291.1",0.0186776033376109,-1.07674949267084,"loss",0.533329629532704,0.221335114553406,"not significant",0.046858081928063
"chr10",72238144,72238147,0,0,21,11,30,21,15,25,20,15,25,31,24,30,24,23,21,24,0,0,12,13,0,0,22,21,19,32007,429,"upstream","PALD1",0.00178833480741203,-1.29379665960448,"loss",0.107542464166879,0.624300648671657,"not significant",0.00639232370194215
"chr10",73975220,73975222,107,68,48,76,81,75,61,69,38,73,92,76,89,84,94,0,105,66,72,51,53,0,84,0,0,0,0,32614,564,"upstream","ANAPC16",0.0143802595590791,-1.3114584022284,"loss",0.593764131333819,-0.0283916006562245,"not significant",0.005610982585019
"chr10",91024558,91024566,21,32,0,0,19,24,25,28,20,0,19,37,21,0,21,18,0,0,23,41,50,18,25,45,43,19,44,34608,394,"upstream","AL353751.1",0.00761058161242506,1.33132679288961,"gain",0.238125353793095,-0.453633774099185,"not significant",0.0047512171266923
"chr10",104677417,104677420,89,69,55,47,98,53,0,70,0,58,61,67,0,102,0,47,0,0,41,47,107,58,71,88,53,78,134,36383,629,"upstream","CNNM2",0.0433830935824182,1.16699783167491,"gain",0.160458954657137,-0.843803893312269,"not significant",0.0360851119199064
"chr10",104952224,104953267,75,53,38,45,85,47,63,78,68,62,54,90,99,102,99,34,76,93,25,58,75,54,50,29,80,64,57,36406,0,"overlapStart","NT5C2",0.0336069989357669,-0.50725318962342,"loss",0.100048824951129,0.360979456245753,"not significant",0.0483402462493669
"chr10",121410436,121410442,62,45,32,0,0,51,0,93,0,57,64,91,57,0,76,42,58,0,56,75,74,61,58,70,102,79,146,37504,439,"upstream","BAG3",0.0406939909123409,0.848197016832112,"gain",0.526177346161279,0.331075188134515,"not significant",0.0176494869351765
"chr10",122893132,122893276,37,32,15,0,20,36,21,0,22,41,21,30,32,0,51,0,18,14,35,38,37,31,41,50,31,28,41,37680,0,"overlapStart","RP11-159H3.1",0.0448880784994792,0.687838736695031,"gain",0.823131472505878,0.186358815094964,"not significant",0.0318343948764559
"chr10",134973928,134973940,0,0,20,19,37,16,18,30,21,16,18,28,26,37,41,15,34,42,0,17,24,28,0,0,22,16,0,39881,10,"upstream","KNDC1",0.0239907444468328,-1.22547099287731,"loss",0.15427845433465,0.667729960891179,"not significant",0.0200321744407689
"chr11",368539,368588,41,0,19,0,24,0,14,33,0,26,16,34,23,0,20,0,25,29,45,17,40,26,29,49,36,35,42,40026,1207,"upstream","B4GALNT4",0.00473758016588759,1.03478747957319,"gain",0.786002317017674,0.0792771312119122,"not significant",0.00711702850395282
"chr11",568088,569258,59,46,51,26,42,35,51,37,45,48,53,74,70,50,76,44,73,65,50,41,69,45,46,35,49,39,39,40187,0,"includeFeature","MIR210",0.0198017555378022,-0.38200060933361,"loss",0.0294055708428164,0.463281726732482,"gain",0.00971654323671386
"chr11",10315415,10316445,73,65,68,94,139,67,111,96,77,82,81,103,97,112,154,102,99,115,53,82,86,84,52,74,59,60,100,41860,0,"overlapStart","SBF2",0.0113333064236319,-0.500880479576754,"loss",0.121989121989122,0.197493119606371,"not significant",0.023299613924001
"chr11",43333189,43333213,0,71,37,29,75,19,41,41,37,37,0,0,39,0,0,0,23,49,29,37,60,37,19,55,25,76,43,43344,299,"upstream","API5",0.0426349044278327,1.19426882042206,"gain",0.102382672257394,-1.08056548130367,"not significant",0.0451967728333157
"chr11",61196866,61196880,0,81,0,44,118,0,65,75,82,101,49,76,84,103,179,52,82,101,49,37,103,65,0,114,38,0,0,44894,633,"upstream","SDHAF2",0.0446993452379065,-1.01079747356388,"loss",0.0362132865515522,0.925007807381788,"gain",0.0396195715273383
"chr11",64007878,64007879,58,67,0,45,66,78,39,90,40,68,55,99,79,75,73,52,39,75,0,0,71,0,41,0,0,60,54,46334,595,"upstream","FKBP2",0.0119514864802554,-1.38316904056457,"loss",0.476741403397028,0.242260112982432,"not significant",0.00732843467051751
"chr11",65149252,65149305,60,54,0,47,0,47,51,68,48,64,64,0,88,0,66,0,0,51,62,65,73,95,82,72,79,90,77,47008,4764,"upstream","FRMD8",0.00598583598683544,1.0192250735626,"gain",0.927772680087773,-0.101427732892123,"not significant",0.00621599519347489
"chr11",75141649,75141750,38,26,48,36,67,44,57,44,46,26,32,41,37,100,23,39,49,35,0,33,36,57,0,15,0,14,32,49411,0,"overlapStart","KLHL35",0.0333734203599238,-1.04256943306846,"loss",0.373765749273417,-0.0723142048158903,"not significant",0.022113551709497
"chr11",76155378,76155393,60,81,0,55,71,46,0,0,0,72,81,86,112,71,166,57,78,95,42,45,85,58,0,54,69,0,77,49566,573,"upstream","C11orf30",0.030195077771679,-0.775761089907239,"loss",0.0200933979975817,1.06401009112177,"gain",0.0419848746299291
"chr11",76777223,76777226,44,63,0,0,45,0,71,84,68,41,62,75,53,64,73,65,56,57,0,49,44,0,47,29,0,62,67,49617,752,"upstream","CAPN5",0.014093195178209,-0.890923231462968,"loss",0.196694585178177,0.678071905112637,"not significant",0.0483540179527414
"chr11",119019597,119019601,23,0,29,23,37,19,37,0,41,25,53,64,25,39,31,26,65,25,0,0,30,48,0,31,15,0,34,53210,120,"upstream","ABCG4",0.0485397299359835,-1.16626797783422,"loss",0.0229682213005076,0.907806301790254,"gain",0.0176310029929775
"chr11",120381976,120381982,30,25,29,23,46,43,26,34,0,30,33,0,26,0,45,25,0,0,0,53,46,47,30,49,42,27,35,53908,485,"upstream","GRIK4",0.0143802595590791,1.20106391189594,"gain",0.0875262731721439,-1.00904513960301,"not significant",0.0155430406523494
"chr11",125773942,125773948,26,31,35,0,37,18,0,0,25,23,34,0,40,32,41,0,0,33,36,29,40,51,22,53,40,33,53,54775,825,"upstream","PUS3",0.049040032458437,0.798893343309408,"gain",0.587122312722267,0.311289574441015,"not significant",0.015415515795379
"chr12",22778981,22778982,118,66,77,0,0,102,101,69,68,63,84,136,126,108,196,72,126,126,0,0,104,0,81,63,63,0,106,58189,1031,"upstream","RP11-268P4.4",0.0074770526750368,-1.25392398738908,"loss",0.0678215829348774,0.729910836632256,"not significant",0.0121653315976216
"chr12",53661849,53661922,19,25,0,20,13,48,13,0,25,20,17,20,14,11,0,0,0,0,24,49,35,13,22,23,24,31,39,60715,160,"upstream","ESPL1",0.00356898538255221,1.43290392007236,"gain",0.467623439719785,-0.688985565264385,"not significant",0.0107242534287272
"chr12",64623195,64623222,34,36,0,19,34,27,0,21,0,15,0,37,22,24,31,19,0,0,39,58,36,19,30,56,24,32,67,62213,739,"upstream","RNU5A-7P",0.00596363203462849,1.43840475470327,"gain",0.364941855086739,-0.53032724414431,"not significant",0.00393539510858487
"chr12",124017544,124017564,59,70,56,54,110,110,65,67,68,64,85,100,75,155,104,0,82,98,0,0,79,0,0,55,0,47,108,66987,3391,"upstream","MIR3908",0.0251440675029355,-1.37177589082462,"loss",0.306624990587408,0.16976225170545,"not significant",0.0131674860524243
"chr13",38923566,38923635,37,26,0,0,22,18,40,0,42,47,44,50,49,44,93,0,46,65,0,39,28,25,28,53,0,12,23,70106,350,"upstream","UFM1",0.0157339726165895,-1.05444778402238,"loss",0.00318894133879882,1.42509116394277,"gain",0.00573480502565792
"chr13",60738248,60738260,77,51,62,13,55,35,21,0,40,70,46,93,65,74,109,32,81,102,0,0,0,71,0,70,0,51,76,71742,126,"upstream","DIAPH3",0.0321357162626691,-1.25764114706358,"loss",0.0342794460441519,0.859184587187408,"gain",0.0148780689073623
"chr14",56046499,56047622,67,64,45,40,71,75,47,55,71,45,51,71,72,84,69,43,72,66,29,42,65,37,41,56,54,52,63,76387,0,"overlapStart","KTN1-AS1",0.0159184227476392,-0.400836655134209,"loss",0.326880960912445,0.151007788099683,"not significant",0.0473491762624407
"chr14",65703473,65703526,43,36,0,31,16,36,22,40,17,33,40,0,33,0,0,0,0,29,30,36,40,36,43,45,27,22,46,77133,1653,"upstream","CTD-2509G16.3",0.0105559248559895,1.24837148791728,"gain",0.112664148828025,-0.881355503501381,"not significant",0.0108458464241671
"chr14",67994715,67995198,41,18,0,0,0,20,18,21,18,28,28,17,21,21,44,0,13,13,20,26,34,22,31,41,23,29,48,77307,4819,"upstream","PLEKHH1",0.0302677664471433,0.5846992592204,"gain",0.419059779087298,0.460764772935973,"not significant",0.0335092036512892
"chr14",77294303,77294309,44,35,32,0,34,0,19,0,26,39,31,0,52,28,30,21,0,0,33,51,42,48,25,42,30,32,48,78635,1713,"upstream","ANGEL1",0.0332179625941851,0.780781826458696,"gain",1,0.147068387785469,"not significant",0.0393961733746824
"chr14",102276637,102276692,84,56,0,46,77,23,0,43,51,69,71,61,66,63,130,68,63,71,74,44,71,33,0,49,26,43,48,81193,0,"overlapStart","CTD-2017C7.2",0.0244295335539341,-0.72584233081171,"loss",0.0681068844784273,0.793886397821284,"not significant",0.0271225287082742
"chr14",102828818,102828826,43,78,66,57,78,74,70,83,81,53,70,97,83,82,66,0,77,85,0,69,69,0,0,0,83,75,0,81401,3578,"upstream","snoU13",0.0419826857006859,-1.07733539350426,"loss",0.422942583751258,0.0162014186857001,"not significant",0.0192900345914913
"chr15",34393679,34393707,0,0,0,34,47,32,53,49,53,27,32,43,60,32,69,38,35,58,0,0,32,42,0,24,21,30,42,83367,566,"upstream","PGBD4",0.00981791510875645,-1.07469909970252,"loss",0.153209646219568,0.734010076706495,"not significant",0.026278065704708
"chr15",51914471,51915396,88,126,70,46,115,101,108,76,64,59,107,85,106,96,101,80,100,130,43,39,63,101,72,44,39,60,118,85266,0,"overlapStart","DMXL2",0.0410490354417096,-0.528558363693286,"loss",0.92916280246553,0.0243002464728302,"not significant",0.0426411307461683
"chr15",63892416,63893849,67,72,53,57,103,73,110,76,64,33,61,90,86,78,63,46,78,93,40,40,61,76,57,43,26,52,61,85984,0,"overlapStart","USP3-AS1",0.0243666768932465,-0.449735120026933,"loss",0.755691342054514,-0.142328437069367,"not significant",0.0212824991164577
"chr15",65578444,65578451,63,101,0,35,79,0,95,91,71,90,79,87,98,85,152,48,97,85,0,69,77,86,0,0,0,100,75,86390,514,"upstream","SNORA24",0.0364220035900163,-0.980011822209008,"loss",0.247324445732236,0.62099080990537,"not significant",0.0467641402650163
"chr15",74044918,74045243,32,22,19,19,42,19,28,24,26,17,31,21,39,31,29,32,45,54,0,15,23,27,19,19,20,18,24,87542,0,"overlapStart","C15orf59",0.00618768715207379,-0.825970600224951,"loss",0.181245322034697,0.342887713523009,"not significant",0.0100349864689392
"chr15",78423253,78423346,68,96,49,54,74,0,54,0,64,85,66,88,73,74,101,75,66,87,43,72,45,0,0,0,0,83,45,88467,493,"upstream","IDH3A",0.00356898538255221,-1.28355142317431,"loss",0.0405761993906996,0.657842580109842,"gain",0.00460312289503713
"chr15",80351551,80351562,0,0,0,31,0,57,47,0,56,63,63,93,60,57,101,35,48,86,28,44,49,0,37,61,48,54,90,88746,347,"upstream","ZFAND6",0.0498425217836308,-0.535689729680485,"loss",0.00165663320405993,1.97194371486902,"gain",0.000633471153670173
"chr15",91445175,91445189,56,66,57,0,76,77,68,75,58,45,67,0,0,78,0,0,0,55,52,106,63,75,52,54,64,94,84,89911,258,"upstream","MAN2A2",0.0234307712051993,1.23974598808672,"gain",0.0702901642674671,-0.970537814632722,"not significant",0.0080913924612596
"chr15",93277406,93277593,20,49,32,67,57,40,42,0,34,76,42,76,65,57,110,55,101,100,24,48,43,64,44,58,46,0,37,90200,0,"overlapStart","RP11-386M24.4",0.0246815307286795,-0.82401804362051,"loss",0.0183618101990668,0.899792837006715,"gain",0.00556257412067918
"chr15",93351758,93353101,80,54,65,55,86,49,63,49,76,87,79,69,95,67,102,74,63,79,48,76,83,61,60,70,61,66,64,90211,0,"overlapStart","CTD-2313J17.1",0.0220674719858835,-0.273406967197281,"loss",0.0326986010104587,0.336938996390221,"gain",0.016641585480354
"chr16",48277956,48277982,0,67,0,33,127,0,77,41,62,71,66,61,97,77,173,60,64,72,44,75,54,0,41,80,56,0,0,96207,224,"upstream","LONP2",0.0158260831274631,-1.04604197223994,"loss",0.108827777750677,0.896875530964421,"not significant",0.0439643109735861
"chr16",50279516,50279545,19,48,18,43,42,27,21,0,0,0,32,0,15,0,28,0,34,24,16,30,27,43,31,43,42,30,123,96318,502,"upstream","ADCY7",0.00940018219605192,1.68543529352612,"gain",0.123918878515873,-1.0348299841631,"not significant",0.0268224799088042
"chr16",75466993,75468217,57,56,42,44,75,33,46,41,47,66,91,79,70,79,112,40,68,68,55,72,70,36,57,41,38,43,62,100106,0,"overlapStart","CFDP1",0.0409602051616011,-0.451106753986366,"loss",0.0233245564532624,0.547873181985936,"gain",0.0132515844423792
"chr16",83806693,83806999,14,17,0,0,22,23,10,15,0,33,15,0,19,0,23,24,0,20,30,21,31,33,25,46,24,23,40,100665,151,"upstream","RP11-298D21.1",0.00523746754801167,1.17867104390713,"gain",0.751170736616924,0.0859496128186154,"not significant",0.00148228053411912
"chr17",1172060,1172062,48,0,27,40,78,42,0,0,37,23,55,66,57,64,117,26,59,61,24,31,54,56,0,37,0,57,0,101973,1790,"upstream","BHLHA9",0.0243666768932465,-0.973295676170946,"loss",0.0825271202953317,0.943662015850188,"not significant",0.0490107192420412
"chr17",30812528,30812621,58,48,0,48,77,54,48,0,37,43,60,67,57,76,74,45,40,71,0,36,63,0,45,57,54,0,0,107503,1015,"upstream","CDK5R1",0.0296155352424404,-1.0084615787482,"loss",0.448929506042561,0.45351164709348,"not significant",0.0469800800668569
"chr17",47572222,47572235,39,39,0,37,39,33,26,36,0,35,52,32,0,0,43,0,20,0,25,32,30,37,44,63,44,36,38,111035,419,"upstream","NGFR",0.0392813524285196,1.09129167945601,"gain",0.173689628390977,-0.774135386756747,"not significant",0.0303087124505476
"chr17",49020936,49020956,50,51,0,39,58,59,43,70,0,47,66,73,0,0,66,0,46,0,79,52,67,70,76,49,65,49,77,111543,508,"upstream","RP11-700H6.2",0.0119134586219221,1.12265913186291,"gain",0.415099383123057,-0.634141034941513,"not significant",0.0144010088725683
"chr17",56401834,56401859,0,0,23,21,38,25,29,36,23,28,32,32,29,36,38,14,32,32,0,25,23,36,0,18,22,0,0,112228,951,"upstream","BZRAP1-AS1",0.0119134586219221,-1.10325396179702,"loss",0.226701350516562,0.46126051603949,"not significant",0.0287562981648721
"chr17",67322839,67323924,63,49,75,64,112,71,72,72,55,68,90,88,91,137,93,70,102,87,33,79,74,62,31,49,48,52,94,113486,0,"overlapStart","ABCA5",0.013271558163199,-0.603089118905479,"loss",0.142424880304542,0.286144431532373,"not significant",0.0151899337192165
"chr17",71227929,71227942,90,35,0,21,56,40,55,69,64,50,52,107,57,71,103,0,99,67,0,75,52,0,39,0,52,0,54,113701,429,"upstream","C17orf80",0.0287528958519957,-1.14855135064975,"loss",0.130719763621764,0.55038935217373,"not significant",0.0440759773225666
"chr18",28681034,28681040,17,23,37,38,43,27,0,31,23,21,33,44,25,44,42,34,65,55,0,30,0,42,31,0,0,27,0,119646,510,"upstream","RP11-408H20.2",0.013380696772842,-1.41808613079458,"loss",0.154705226522075,0.515641440217249,"not significant",0.00834984172386161
"chr18",29264421,29264433,0,39,0,21,50,29,39,30,15,25,25,26,44,35,30,31,39,43,0,25,0,36,20,0,0,19,23,119659,1184,"upstream","RP11-549B18.1",0.00758377756289581,-1.19550124814833,"loss",0.65568749471445,0.267651033904164,"not significant",0.0320130599200421
"chr18",60189582,60189609,92,0,32,0,82,88,94,68,44,74,100,119,87,86,148,47,78,75,43,76,0,70,0,65,0,80,0,121302,630,"upstream","ZCCHC2",0.00978546458510318,-1.20912645158044,"loss",0.306624990587408,0.590015728447442,"not significant",0.0230492552231087
"chr18",72128243,72128391,53,36,0,11,39,0,13,26,0,41,40,20,42,15,43,0,16,0,34,39,66,0,49,62,58,32,64,121715,3063,"upstream","FAM69C",0.049040032458437,1.04866334375237,"gain",0.822399926468538,-0.0361102934092808,"not significant",0.0301327559892178
"chr19",1479409,1479567,30,31,23,39,54,34,38,30,37,51,24,51,65,38,58,36,35,45,52,57,63,39,51,56,77,45,72,123218,0,"overlapStart","C19orf25",0.0407826827364892,0.37064337992039,"gain",0.109194645984455,0.33531030680811,"not significant",0.00222584845292314
"chr19",12175616,12176074,58,66,40,58,88,117,70,89,52,72,45,114,78,78,166,81,98,125,27,44,53,44,35,69,56,99,59,127042,4904,"upstream","RNA5SP466",0.0159184227476392,-0.751320887143276,"loss",0.306375018322284,0.311451534884497,"not significant",0.0318174870014832
"chr19",12267017,12267658,53,90,39,34,103,120,69,79,54,47,55,87,78,75,80,61,71,84,40,62,49,60,33,45,27,41,62,127065,0,"overlapStart","ZNF625-ZNF20",0.00793604951170565,-0.571818700492323,"loss",0.896750308515014,-0.0845165603606898,"not significant",0.0203250978408236
"chr19",12899321,12899324,52,45,0,36,67,64,45,74,61,65,51,76,68,81,72,47,63,89,0,0,97,0,50,0,65,0,65,127346,3405,"upstream","CTD-2659N19.9",0.0431957711793723,-1.12871743511608,"loss",0.0559645474014931,0.491334017797998,"not significant",0.0227071817617704
"chr19",34662657,34662673,94,0,102,88,158,117,131,149,98,103,106,193,137,158,208,69,110,105,88,87,124,121,0,0,0,0,0,130826,735,"upstream","LSM14A",0.0119895707604062,-1.46354772710953,"loss",0.423662170278702,0.295341242893516,"not significant",0.0053531727686615
"chr19",39926388,39926402,28,20,15,16,54,23,13,22,0,30,26,44,35,33,43,31,35,33,0,31,40,23,0,26,0,0,0,132774,393,"upstream","SUPT5H",0.0200009965622478,-1.21723071622067,"loss",0.0558377735813035,0.376767482351127,"not significant",0.03712521989741
"chr19",49250043,49250243,24,0,0,0,24,46,25,35,23,31,27,36,43,0,0,0,43,34,44,32,52,54,29,49,48,42,30,135732,0,"overlapStart","IZUMO1",0.019693579405884,0.833115452877739,"gain",0.586721443256062,0.300028613315995,"not significant",0.010506691216453
"chr19",49313901,49314618,40,46,34,37,51,29,30,67,37,47,43,61,53,72,46,49,82,67,38,39,49,36,32,39,33,36,48,135764,0,"overlapStart","BCAT2",0.00697593174140014,-0.518319312062653,"loss",0.0406802338522264,0.415901129978617,"gain",0.00960342513275897
"chr19",54410750,54410887,38,0,26,30,47,50,32,0,0,0,22,0,34,33,0,20,33,48,36,54,53,54,45,43,29,31,61,137199,1701,"upstream","CACNG7",0.00596363203462849,1.24748340229928,"gain",0.389663453172046,-0.552972386476719,"not significant",0.00711949595358191
"chr19",58446721,58446775,46,43,30,28,59,43,40,36,47,51,44,50,52,47,90,41,65,66,32,24,60,34,50,32,0,0,50,138320,0,"overlapStart","ZNF418",0.0195856354705188,-0.819581224390863,"loss",0.0112476601727272,0.444911667431528,"gain",0.0113793253623959
"chr19",59069596,59069598,125,0,0,0,76,86,45,77,95,76,67,159,113,98,174,43,122,62,0,72,85,61,0,97,47,84,0,138659,3104,"upstream","CHMP2A",0.030195077771679,-1.025807465741,"loss",0.0905379670903033,0.980825331277246,"not significant",0.0244702849934708
"chr2",7005213,7005225,0,50,0,44,91,0,43,46,31,33,62,90,62,58,115,32,78,63,33,0,72,43,30,0,47,49,0,139133,711,"upstream","RSAD2",0.0332956652501971,-1.03536704245667,"loss",0.0993474371906556,0.865442041014359,"not significant",0.0420189838011765
"chr2",27886182,27886183,84,80,0,54,131,73,66,58,57,50,59,80,98,72,109,0,60,83,44,54,65,0,59,0,0,0,71,141549,154,"upstream","SLC4A1AP",0.0321357162626691,-1.03694434460675,"loss",0.964528103406385,-0.0309809433331626,"not significant",0.0487461763714658
"chr2",28612865,28612885,54,47,57,34,72,59,50,52,38,30,66,62,39,66,85,50,43,70,0,0,46,46,0,0,36,0,0,141616,2429,"upstream","FOSL2",0.00321103823032727,-1.94865924556015,"loss",0.929126281065573,0.047415213092772,"not significant",4.27163897065031e-05
